n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
15,8,,leaf,25,1,24.0,0.4381,0.4381,0.6353,0.8979,0.7806,0.9899,,
15,8,,leaf,30,1,29.0,0.4381,0.4381,0.6193,0.9034,0.7662,0.9916,,
15,15,5.0,eom,10,1,9.0,0.2525,0.2525,0.5113,0.9611,0.883,0.963,,
15,15,5.0,eom,15,1,14.0,0.2525,0.2525,0.548,0.9357,0.8448,0.9757,,
15,15,5.0,eom,20,1,19.0,0.2525,0.2525,0.6319,0.9105,0.7868,0.9816,,
15,15,5.0,eom,25,1,24.0,0.2525,0.2525,0.621,0.9,0.7601,0.9863,,
15,15,5.0,eom,30,1,29.0,0.2525,0.2525,0.6152,0.8845,0.7287,0.9885,,
15,15,5.0,leaf,10,1,9.0,0.366,0.366,0.6854,0.9389,0.8605,0.9645,,
15,15,5.0,leaf,15,1,14.0,0.366,0.366,0.6517,0.9179,0.8351,0.9796,,
15,15,5.0,leaf,20,1,19.0,0.366,0.366,0.6091,0.9053,0.788,0.9859,,
15,15,5.0,leaf,25,1,24.0,0.366,0.366,0.6195,0.9042,0.7701,0.9887,,
15,15,5.0,leaf,30,1,29.0,0.366,0.366,0.6216,0.8845,0.7305,0.9907,,
15,15,15.0,eom,10,1,9.0,0.2921,0.2921,0.5656,0.9389,0.8886,0.9635,,
15,15,15.0,eom,15,1,14.0,0.2921,0.2921,0.5369,0.9357,0.8341,0.9772,,
15,15,15.0,eom,20,1,19.0,0.2921,0.2921,0.6059,0.9026,0.7771,0.9837,,
15,15,15.0,eom,25,1,24.0,0.2921,0.2921,0.6271,0.9021,0.7662,0.9874,,
15,15,15.0,eom,30,1,29.0,0.2921,0.2921,0.6133,0.8966,0.7469,0.9896,,
15,15,15.0,leaf,10,1,9.0,0.4316,0.4316,0.5504,0.9556,0.8802,0.9729,,
15,15,15.0,leaf,15,1,14.0,0.4316,0.4316,0.526,0.9357,0.8444,0.9824,,
15,15,15.0,leaf,20,1,19.0,0.4316,0.4316,0.5967,0.8947,0.78,0.9875,,
15,15,15.0,leaf,25,1,24.0,0.4316,0.4316,0.6116,0.9,0.7715,0.9902,,
15,15,15.0,leaf,30,1,29.0,0.4316,0.4316,0.6666,0.8931,0.7523,0.9919,,
15,15,,eom,10,1,9.0,0.2921,0.2921,0.5656,0.9389,0.8886,0.9635,,
15,15,,eom,15,1,14.0,0.2921,0.2921,0.5369,0.9357,0.8341,0.9772,,
15,15,,eom,20,1,19.0,0.2921,0.2921,0.6059,0.9026,0.7771,0.9837,,
15,15,,eom,25,1,24.0,0.2921,0.2921,0.6271,0.9021,0.7662,0.9874,,
15,15,,eom,30,1,29.0,0.2921,0.2921,0.6133,0.8966,0.7469,0.9896,,
15,15,,leaf,10,1,9.0,0.4316,0.4316,0.5504,0.9556,0.8802,0.9729,,
15,15,,leaf,15,1,14.0,0.4316,0.4316,0.526,0.9357,0.8444,0.9824,,
15,15,,leaf,20,1,19.0,0.4316,0.4316,0.5967,0.8947,0.78,0.9875,,
15,15,,leaf,25,1,24.0,0.4316,0.4316,0.6116,0.9,0.7715,0.9902,,
15,15,,leaf,30,1,29.0,0.4316,0.4316,0.6666,0.8931,0.7523,0.9919,,
15,25,5.0,eom,10,1,9.0,0.2474,0.2474,0.6759,0.9722,0.9133,0.961,,
15,25,5.0,eom,15,1,14.0,0.2474,0.2474,0.6427,0.9393,0.8523,0.9781,,
15,25,5.0,eom,20,1,19.0,0.2474,0.2474,0.5954,0.9289,0.8157,0.9837,,
15,25,5.0,eom,25,1,24.0,0.2474,0.2474,0.6306,0.8979,0.7656,0.9866,,
15,25,5.0,eom,30,1,29.0,0.2474,0.2474,0.6225,0.8966,0.7387,0.9889,,
15,25,5.0,leaf,10,1,9.0,0.3507,0.3507,0.6617,0.9667,0.9085,0.9687,,
15,25,5.0,leaf,15,1,14.0,0.3507,0.3507,0.6123,0.95,0.8565,0.9812,,
15,25,5.0,leaf,20,1,19.0,0.3507,0.3507,0.5798,0.9237,0.8056,0.9861,,
15,25,5.0,leaf,25,1,24.0,0.3507,0.3507,0.5811,0.8917,0.7525,0.9885,,
15,25,5.0,leaf,30,1,29.0,0.3507,0.3507,0.6138,0.8724,0.7203,0.9905,,
15,25,15.0,eom,10,1,9.0,0.1868,0.1868,0.6358,0.9722,0.9126,0.9625,,
15,25,15.0,eom,15,1,14.0,0.1868,0.1868,0.6408,0.9607,0.8581,0.9724,,
15,25,15.0,eom,20,1,19.0,0.1868,0.1868,0.6296,0.9447,0.8101,0.9802,,
15,25,15.0,eom,25,1,24.0,0.1868,0.1868,0.6248,0.9083,0.7708,0.9843,,
15,25,15.0,eom,30,1,29.0,0.1868,0.1868,0.6532,0.8931,0.735,0.9872,,
15,25,15.0,leaf,10,1,9.0,0.3905,0.3905,0.7077,0.95,0.8856,0.968,,
15,25,15.0,leaf,15,1,14.0,0.3905,0.3905,0.5644,0.9607,0.8677,0.9834,,
15,25,15.0,leaf,20,1,19.0,0.3905,0.3905,0.5647,0.9132,0.7915,0.9869,,
15,25,15.0,leaf,25,1,24.0,0.3905,0.3905,0.6163,0.8958,0.7665,0.9895,,
15,25,15.0,leaf,30,1,29.0,0.3905,0.3905,0.6254,0.8845,0.7356,0.9913,,
15,25,,eom,10,1,9.0,0.1563,0.1563,0.7396,0.9833,0.9198,0.965,,
15,25,,eom,15,1,14.0,0.1563,0.1563,0.6361,0.95,0.8531,0.9716,,
15,25,,eom,20,1,19.0,0.1563,0.1563,0.6893,0.9132,0.7976,0.9795,,
15,25,,eom,25,1,24.0,0.1563,0.1563,0.6811,0.9125,0.7786,0.9842,,
15,25,,eom,30,1,29.0,0.1563,0.1563,0.6633,0.9034,0.7504,0.987,,
15,25,,leaf,10,1,9.0,0.397,0.397,0.6681,0.95,0.8989,0.9703,,
15,25,,leaf,15,1,14.0,0.397,0.397,0.6406,0.9571,0.8881,0.9833,,
15,25,,leaf,20,1,19.0,0.397,0.397,0.6824,0.9105,0.8155,0.9875,,
15,25,,leaf,25,1,24.0,0.397,0.397,0.7055,0.9062,0.7842,0.9902,,
15,25,,leaf,30,1,29.0,0.397,0.397,0.6687,0.8793,0.738,0.9917,,
15,30,5.0,eom,10,1,9.0,0.1843,0.1843,0.6114,0.9778,0.9093,0.958,,
